Length,Generation
14288.027944677264, 1
13510.082929030392, 3
13510.082929030392, 4
13659.244074393437, 7
13295.011325818583, 8
13020.398573922666, 9
12939.98973043058, 12
12730.614210882546, 13
12730.614210882546, 14
12491.706280240238, 15
12491.706280240238, 18
11998.337610237455, 19
11998.337610237455, 23
11728.361069729597, 24
11728.361069729597, 25
11665.617898155613, 26
11665.617898155613, 28
11665.617898155613, 29
11378.548146707586, 34
11262.879151264051, 42
11262.879151264051, 47
11262.879151264051, 50
11262.879151264051, 54
11092.60605235488, 57
11092.60605235488, 61
11092.60605235488, 62
11011.295149182231, 63
10951.110950460597, 68
10978.128151466934, 70
10978.128151466934, 71
10342.833445556837, 77
10339.809872594467, 78
10243.338309502382, 79
10066.456203140873, 80
10066.456203140873, 82
9981.296827805, 83
9869.855416073338, 84
9880.069301782067, 85
9585.615249311364, 87
9362.409472220734, 89
9362.409472220734, 93
9233.463779888169, 95
9233.463779888169, 97
9222.745199240368, 98
9077.389474800651, 99
9002.18104433156, 100
8797.56386307524, 101
8797.56386307524, 102
8582.69292219243, 106
8439.990477934616, 111
8356.94519113827, 114
8356.94519113827, 116
8199.121396051001, 117
8059.972428914684, 121
8059.972428914684, 123
7636.598455839469, 125
7636.598455839469, 127
7621.76101328966, 129
7203.6615563608075, 137
7203.6615563608075, 138
7203.6615563608075, 139
7123.950727157456, 141
7123.950727157456, 143
7123.950727157456, 146
7123.950727157456, 153
7123.950727157456, 155
7123.950727157456, 157
7123.950727157456, 160
7123.950727157456, 163
7123.950727157456, 164
7123.950727157456, 165
7123.950727157456, 167
7123.950727157456, 170
7123.950727157456, 175
7112.977906950654, 176
7112.977906950654, 183
7112.977906950654, 190
7112.977906950654, 191
7112.977906950654, 194
7112.977906950654, 198
7112.977906950654, 199
7112.977906950654, 201
7112.977906950654, 202
6896.252518008782, 203
6826.788683860547, 204
6826.788683860547, 216
6826.788683860547, 220
6826.788683860547, 225
6826.788683860547, 229
6824.723487726027, 231
6786.825996463627, 232
6786.825996463627, 233
6786.825996463627, 239
6786.825996463627, 240
6786.825996463627, 245
6786.825996463627, 246
6786.825996463627, 248
6786.825996463627, 258
6786.825996463627, 259
6786.825996463627, 263
6745.444471081068, 264
6745.444471081068, 267
6745.444471081068, 278
6745.444471081068, 279
6745.444471081068, 284
6745.444471081068, 291
6745.444471081068, 295
6516.2850203583785, 298
6437.877993579538, 310
6434.80235891843, 318
6388.6858619799705, 327
6388.6858619799705, 329
6388.6858619799705, 330
6388.6858619799705, 337
6342.650647883408, 338
6342.650647883408, 339
6342.650647883408, 348
6342.650647883408, 350
6342.650647883408, 353
6342.650647883408, 359
6287.920499701733, 365
6252.866209051419, 369
6105.251254680903, 370
6105.251254680903, 371
6105.251254680903, 377
6105.251254680903, 381
6105.251254680903, 384
6105.251254680903, 390
6105.251254680903, 393
6105.251254680903, 395
6105.251254680903, 403
6105.251254680903, 405
6105.251254680903, 410
6105.251254680903, 414
6105.251254680903, 418
6105.251254680903, 420
6105.251254680903, 421
6105.251254680903, 424
6105.251254680903, 433
6105.251254680903, 434
6105.251254680903, 435
6105.251254680903, 436
6105.251254680903, 438
6105.251254680903, 444
6105.251254680903, 459
6105.251254680903, 460
6031.099563119472, 463
6031.099563119472, 465
6031.099563119472, 468
6031.099563119472, 471
6031.099563119472, 482
6031.099563119472, 484
5945.985591618624, 488
5647.723852688212, 489
5647.723852688212, 496
5647.723852688212, 503
5647.723852688212, 508
5647.723852688212, 510
5647.723852688212, 511
5647.723852688212, 513
5647.723852688212, 516
5647.723852688212, 520
5647.723852688212, 522
5647.723852688212, 528
5619.660490969253, 531
5619.660490969253, 533
5619.660490969253, 537
5539.1689730477465, 543
5539.1689730477465, 544
5539.1689730477465, 545
5539.1689730477465, 547
5539.1689730477465, 551
5539.1689730477465, 560
5539.1689730477465, 563
5539.1689730477465, 565
5539.1689730477465, 568
5539.1689730477465, 569
5539.1689730477465, 573
5539.1689730477465, 577
5539.1689730477465, 580
5539.1689730477465, 582
5539.1689730477465, 588
5539.1689730477465, 589
5539.1689730477465, 592
5539.1689730477465, 593
5539.1689730477465, 594
5539.1689730477465, 595
5539.1689730477465, 607
5539.1689730477465, 608
5539.1689730477465, 615
5539.1689730477465, 627
5539.1689730477465, 630
5539.1689730477465, 635
5539.1689730477465, 638
5539.1689730477465, 642
5539.1689730477465, 643
5539.1689730477465, 644
5539.1689730477465, 645
5539.1689730477465, 648
5539.1689730477465, 650
5539.1689730477465, 652
5539.1689730477465, 655
5539.1689730477465, 657
5539.1689730477465, 671
5539.1689730477465, 678
5539.1689730477465, 685
5539.1689730477465, 686
5539.1689730477465, 689
5539.1689730477465, 690
5515.102024188854, 692
5515.102024188854, 698
5515.102024188854, 706
5515.102024188854, 708
5515.102024188854, 712
5515.102024188854, 714
5515.102024188854, 720
5515.102024188854, 721
5515.102024188854, 723
5515.102024188854, 725
5515.102024188854, 730
5515.102024188854, 735
5515.102024188854, 750
5515.102024188854, 751
5515.102024188854, 752
5515.102024188854, 754
5515.102024188854, 755
5483.284147575912, 756
5483.284147575912, 767
5483.284147575912, 768
5483.284147575912, 769
5483.284147575912, 773
5483.284147575912, 782
5483.284147575912, 788
5453.882817494583, 789
5453.882817494583, 792
5453.882817494583, 795
5453.882817494583, 798
5453.882817494583, 800
5453.882817494583, 807
5453.882817494583, 815
5453.882817494583, 820
5453.882817494583, 821
5453.882817494583, 824
5453.882817494583, 826
5453.882817494583, 827
5453.882817494583, 836
5453.882817494583, 837
5453.882817494583, 838
5453.882817494583, 842
5453.882817494583, 851
5453.882817494583, 857
5453.882817494583, 859
5453.882817494583, 860
5453.882817494583, 861
5453.882817494583, 865
5453.882817494583, 866
5453.882817494583, 870
5453.882817494583, 873
5453.882817494583, 874
5453.882817494583, 876
5453.882817494583, 887
5453.882817494583, 894
5453.882817494583, 907
5453.882817494583, 908
5453.882817494583, 915
5453.882817494583, 916
5453.882817494583, 920
5453.882817494583, 921
5453.882817494583, 924
5453.882817494583, 925
5453.882817494583, 929
5453.882817494583, 930
5453.882817494583, 938
5453.882817494583, 944
5453.882817494583, 947
5453.882817494583, 964
5453.882817494583, 972
5453.882817494583, 973
5453.882817494583, 988
5453.882817494583, 992
5453.882817494583, 994
5453.882817494583, 1002
5453.882817494583, 1004
5453.882817494583, 1011
5453.882817494583, 1015
5453.882817494583, 1034
